,Player,From,To,Position,Height,Weight,Birth Date,College,bball_id
902,Othyus Jeffers,2010,2014,G,6-5,200,"August 5, 1985","University of Illinois at Chicago, Robert Morris University (IL)",jeffeot01
903,Al Jefferson,2005,2018,C-F,6-10,289,"January 4, 1985",,jeffeal01
904,Amile Jefferson,2019,2020,F,6-9,222,"May 7, 1993",Duke,jeffeam01
905,Cory Jefferson,2015,2016,F,6-9,218,"December 26, 1990",Baylor,jeffeco01
906,Dontell Jefferson,2009,2009,G,6-5,195,"December 15, 1983",Arkansas,jeffedo01
907,Richard Jefferson,2002,2018,F,6-7,233,"June 21, 1980",Arizona,jefferi01
908,DaQuan Jeffries,2020,2025,G-F,6-5,230,"August 30, 1997","Oral Roberts, Tulsa",jeffrda01
909,Jared Jeffries,2003,2013,F,6-11,230,"November 25, 1981",Indiana,jeffrja01
910,Trey Jemison,2024,2025,C,6-11,260,"November 28, 1999","Clemson, UAB",jemistr01
911,Charles Jenkins,2012,2013,G,6-3,220,"February 28, 1989",Hofstra,jenkich01
912,Daniss Jenkins,2025,2025,G,6-3,165,"August 17, 2001","University of the Pacific, Iona College, St. John's",jenkida01
913,Horace Jenkins,2005,2005,G,6-1,180,"October 14, 1974",William Paterson University,jenkiho01
914,John Jenkins,2013,2019,G,6-4,215,"March 6, 1991",Vanderbilt,jenkijo01
915,Brandon Jennings,2010,2018,G,6-1,170,"September 23, 1989",,jennibr01
916,Keith Jennings,1993,1995,G,5-7,160,"November 2, 1968",East Tennessee State University,jennike01
917,Chris Jent,1994,1997,F,6-7,220,"January 11, 1970",Ohio State,jentch01
918,Les Jepsen,1991,1992,C,7-0,237,"June 24, 1967",Iowa,jepsele01
919,Jonas Jerebko,2010,2019,F,6-10,231,"March 2, 1987",,jerebjo01
920,Ty Jerome,2020,2025,G,6-5,195,"July 8, 1997",Virginia,jeromty01
921,Grant Jerrett,2015,2015,F,6-10,235,"July 8, 1993",Arizona,jerregr01
922,Eugene Jeter,2011,2011,G,5-11,175,"December 2, 1983",University of Portland,jetereu01
923,Hal Jeter,1970,1970,G,6-3,190,"May 17, 1945",Drake University,jeterha01
924,Yi Jianlian,2008,2012,F,7-0,240,"October 27, 1987",,jianlyi01
925,Isaiah Joe,2021,2025,G,6-5,181,"July 2, 1999",Arkansas,joeis01
926,Britton Johnsen,2004,2005,F,6-10,210,"July 8, 1979",Utah,johnsbr01
927,AJ Johnson,2025,2025,G,6-4,160,"December 1, 2004",,johnsaj01
928,Alexander Johnson,2007,2008,F,6-9,240,"February 8, 1983",Florida State,johnsal01
929,Alize Johnson,2019,2023,F,6-7,212,"April 22, 1996","Frank Phillips College, Missouri State",johnsal02
930,Amir Johnson,2006,2019,F-C,6-9,240,"May 1, 1987",,johnsam01
931,Andy Johnson,1959,1962,F-G,6-5,215,"November 8, 1932",University of Portland,johnsan01
932,Anthony Johnson,1998,2010,G,6-3,190,"October 2, 1974",College of Charleston,johnsan02
933,Armon Johnson,2011,2012,G,6-3,195,"February 23, 1989",Nevada,johnsar02
934,Arnie Johnson,1949,1953,F-C,6-5,236,"May 16, 1920",Bemidji State University,johnsar01
935,Avery Johnson,1989,2004,G,5-10,175,"March 25, 1965","Cameron University, Southern University and A&M College",johnsav01
936,B.J. Johnson,2019,2022,G,6-7,200,"December 21, 1995","Syracuse, La Salle",johnsbj01
937,Brice Johnson,2017,2018,F,6-10,230,"June 27, 1994",UNC,johnsbr02
938,Buck Johnson,1987,1993,F,6-7,190,"January 3, 1964",Alabama,johnsbu01
939,Cameron Johnson,2020,2025,F,6-8,210,"March 3, 1996","Pitt, UNC",johnsca02
940,Carldell Johnson,2012,2012,G,5-10,180,"January 28, 1983",UAB,johnsca01
941,Charles Johnson,1973,1979,G,6-0,170,"March 31, 1949",California,johnsch01
942,Cheese Johnson,1980,1980,F-G,6-6,195,"September 7, 1957",Wichita State,johnsch02
943,Chris Johnson,2011,2013,C,6-11,210,"July 15, 1985",LSU,johnsch03
944,Chris Johnson,2013,2016,F-G,6-6,206,"April 29, 1990",Dayton,johnsch04
945,Clay Johnson,1982,1984,G,6-4,175,"July 18, 1956",Missouri,johnscl02
946,Clemon Johnson,1979,1988,C-F,6-10,240,"September 12, 1956",Florida A&M,johnscl01
947,Dakari Johnson,2018,2018,C,7-0,255,"September 22, 1995",Kentucky,johnsda04
948,Darryl Johnson,1996,1996,G,6-1,170,"October 26, 1965",Michigan State,johnsda02
949,Dave Johnson,1993,1994,G-F,6-7,210,"November 16, 1970",Syracuse,johnsda01
950,David Johnson,2022,2022,G,6-5,210,"February 26, 2001",Louisville,johnsda08
951,DeMarco Johnson,2000,2000,F,6-9,245,"October 6, 1975",UNC Charlotte,johnsde02
952,Dennis Johnson,1977,1990,G,6-4,185,"September 18, 1954","Harbor College, Pepperdine",johnsde01
953,DerMarr Johnson,2001,2008,F,6-9,201,"May 5, 1980",Cincinnati,johnsde03
954,Ed Johnson,1969,1971,C,6-8,205,"June 17, 1944",Tennessee State,johnsed01
955,Eddie Johnson,1978,1987,G,6-2,180,"February 24, 1955",Auburn,johnsed02
956,Eddie Johnson,1982,1999,F-G,6-7,215,"May 1, 1959",Illinois,johnsed03
957,Eric Johnson,1990,1990,G,6-2,205,"February 7, 1966","Baylor, Nebraska",johnser01
958,Ervin Johnson,1994,2006,C,6-11,245,"December 21, 1967",New Orleans,johnser02
959,Frank Johnson,1982,1994,G,6-1,185,"November 23, 1958",Wake Forest,johnsfr01
960,George Johnson,1971,1974,C,6-11,245,"June 19, 1947",Stephen F. Austin,johnsge01
961,George Johnson,1973,1986,C-F,6-11,205,"December 18, 1948",Dillard University,johnsge02
962,George Johnson,1979,1986,F-C,6-7,210,"December 8, 1956",St. John's,johnsge03
963,Gus Johnson,1964,1973,F-C,6-6,230,"December 13, 1938","Boise State, Idaho",johnsgu01
964,Harold Johnson,1947,1947,C,6-6,240,"January 30, 1920",Indiana State University,johnsha01
965,Ivan Johnson,2012,2013,F,6-8,230,"April 10, 1984","Oregon, Cal State San Bernardino",johnsiv01
966,JaJuan Johnson,2012,2012,F,6-10,221,"February 8, 1989",Purdue,johnsja02
967,Jalen Johnson,2022,2025,F,6-9,220,"December 18, 2001",Duke,johnsja05
968,James Johnson,2010,2025,F,6-7,240,"February 20, 1987",Wake Forest,johnsja01
969,Joe Johnson,2002,2022,G-F,6-7,240,"June 29, 1981",Arkansas,johnsjo02
970,John Johnson,1971,1982,F,6-7,200,"October 18, 1947","Northwest College, Iowa",johnsjo01
971,Kannard Johnson,1988,1988,F,6-9,220,"June 24, 1965",Western Kentucky,johnska01
972,Keldon Johnson,2020,2025,G,6-5,220,"October 11, 1999",Kentucky,johnske04
973,Ken Johnson,1986,1986,F,6-8,240,"November 7, 1962","USC, Michigan State",johnske01
974,Ken Johnson,2003,2003,F-C,6-11,240,"February 1, 1978",Ohio State,johnske03
975,Keon Johnson,2022,2025,G,6-5,186,"March 10, 2002",Tennessee,johnske07
976,Keshad Johnson,2025,2025,F,6-6,225,"June 23, 2001","San Diego State, Arizona",johnske10
977,Kevin Johnson,1988,2000,G,6-1,180,"March 4, 1966",California,johnske02
978,Keyontae Johnson,2024,2024,F,6-5,230,"May 24, 2000","Florida, Kansas State",johnske08
979,Larry Johnson,1978,1978,G,6-3,205,"November 28, 1954",Kentucky,johnsla01
980,Larry Johnson,1992,2001,F,6-7,250,"March 14, 1969","Odessa College, UNLV",johnsla02
981,Lee Johnson,1981,1981,F,6-11,205,"June 16, 1957","Montana, Texas A&M University-Commerce",johnsle01
982,Linton Johnson,2004,2009,F,6-8,205,"June 13, 1980",Tulane,johnsli01
983,Magic Johnson,1980,1996,G-F,6-9,215,"August 14, 1959",Michigan State,johnsma02
984,Marques Johnson,1978,1990,F-G,6-7,218,"February 8, 1956",UCLA,johnsma01
985,Mickey Johnson,1975,1986,F,6-10,190,"August 31, 1952",Aurora University,johnsmi01
986,Neil Johnson,1967,1973,F-C,6-7,220,"April 17, 1943","Tulsa, Creighton",johnsne02
987,Nick Johnson,2015,2015,G,6-3,202,"December 22, 1992",Arizona,johnsni01
988,Ollie Johnson,1973,1982,F,6-6,200,"May 11, 1949",Temple,johnsol01
989,Omari Johnson,2018,2018,F,6-9,220,"November 26, 1989",Oregon State,johnsom01
990,Orlando Johnson,2013,2016,G,6-5,220,"March 11, 1989","Loyola Marymount, UC Santa Barbara",johnsor01
991,Ralph Johnson,1950,1953,G,5-11,170,"December 6, 1921",Huntington University,johnsra01
992,Reggie Johnson,1981,1984,F-C,6-9,205,"June 25, 1957",Tennessee,johnsre01
993,Rich Johnson,1969,1971,C,6-7,210,"December 18, 1946",Grambling State University,johnsri01
994,Ron Johnson,1961,1961,F,6-8,215,"July 20, 1938",Minnesota,johnsro01
995,Stanley Johnson,2016,2023,F,6-6,242,"May 29, 1996",Arizona,johnsst04
996,Steffond Johnson,1987,1987,F,6-8,240,"November 4, 1962","LSU, San Diego State",johnsst02
997,Steve Johnson,1982,1991,C-F,6-10,235,"November 3, 1957",Oregon State,johnsst03
998,Stew Johnson,1968,1976,F-C,6-8,220,"August 19, 1944",Murray State,johnsst01
999,Trey Johnson,2009,2012,G,6-5,218,"August 30, 1984","Alcorn State, Jackson State University",johnstr01
1000,Tyler Johnson,2015,2022,G,6-3,186,"May 7, 1992",Fresno State,johnsty01
1001,Vinnie Johnson,1980,1992,G,6-2,200,"September 1, 1956",Baylor,johnsvi01
1002,Wesley Johnson,2011,2019,F-G,6-7,215,"July 11, 1987","Iowa State, Syracuse",johnswe01
1003,Darius Johnson-Odom,2013,2014,G,6-2,215,"September 28, 1989",Marquette,johnsda03
1004,Nate Johnston,1990,1990,F,6-8,210,"December 18, 1966",University of Tampa,johnsna01
1005,Neil Johnston,1952,1959,C,6-8,210,"February 4, 1929",Ohio State,johnsne01
1006,Jim Johnstone,1983,1983,C-F,6-11,245,"September 20, 1960",Wake Forest,johnsji01
1007,Nikola Jokić,2016,2025,C-F,6-11,284,"February 19, 1995",,jokicni01
1008,Howie Jolliff,1961,1963,F-C,6-7,218,"July 20, 1938",Ohio University,jolifho01
1009,Alvin Jones,2002,2002,C,6-11,265,"September 9, 1978",Georgia Tech,jonesal01
1010,Anthony Jones,1987,1990,G-F,6-6,195,"September 13, 1962","Georgetown, UNLV",jonesan01
1011,Askia Jones,1995,1995,G,6-5,200,"December 3, 1971",Kansas State,jonesas01
1012,Bill Jones,1989,1989,F,6-7,175,"March 18, 1966",Iowa,jonesbi01
1013,Bobby Jones,1975,1986,F,6-9,210,"December 18, 1951",UNC,jonesbo01
1014,Bobby Jones,2007,2008,F,6-7,215,"January 9, 1984",Washington,jonesbo02
1015,Caldwell Jones,1974,1990,C-F,6-11,217,"August 4, 1950",Albany State University,jonesca01
1016,Carlik Jones,2022,2023,G,6-1,185,"December 23, 1997","Radford, Louisville",jonesca03
1017,Charles Jones,1984,1998,F-C,6-9,215,"April 3, 1957",Albany State University,jonesch01
1018,Charles Jones,1985,1989,F,6-8,215,"January 12, 1962",Louisville,jonesch02
1019,Charles Jones,1999,2000,G,6-3,180,"July 17, 1975","Rutgers University, Long Island University",jonesch03
1020,Colby Jones,2024,2025,G,6-6,205,"May 28, 2002",Xavier,jonesco02
1021,Collis Jones,1972,1975,F,6-7,203,"July 3, 1949",Notre Dame,jonesco01
1022,Dahntay Jones,2004,2017,G-F,6-6,225,"December 27, 1980","Rutgers University, Duke",jonesda02
1023,Damian Jones,2017,2024,F-C,6-11,245,"June 30, 1995",Vanderbilt,jonesda03
1024,Damon Jones,1999,2009,G,6-3,185,"August 25, 1976",Houston,jonesda01
1025,DeQuan Jones,2013,2013,F,6-8,221,"June 20, 1990",Miami (FL),jonesde01
1026,Derrick Jones Jr.,2017,2025,F,6-5,210,"February 15, 1997",UNLV,jonesde02
1027,Dillon Jones,2025,2025,F,6-5,240,"October 29, 2001",Weber State,jonesdi01
1028,Dominique Jones,2011,2013,G,6-4,215,"October 15, 1988",South Florida,jonesdo02
1029,Dontae' Jones,1998,1998,F,6-8,220,"June 2, 1975","Northeast Mississippi Community College, Mississippi State",jonesdo01
1030,Dwayne Jones,2006,2010,F-C,6-11,250,"June 9, 1983",Saint Joseph's,jonesdw02
1031,Dwight Jones,1974,1983,F-C,6-10,210,"February 27, 1952",Houston,jonesdw01
1032,Earl Jones,1985,1986,C,7-0,210,"January 13, 1961",University of the District of Columbia,jonesea01
1033,Eddie Jones,1995,2008,G-F,6-6,190,"October 20, 1971",Temple,jonesed02
1034,Edgar Jones,1981,1986,F-C,6-10,225,"June 17, 1956",Nevada,jonesed01
1035,Fred Jones,2003,2009,G-F,6-4,210,"March 11, 1979",Oregon,jonesfr01
1036,Herbert Jones,2022,2025,F,6-8,210,"October 6, 1998",Alabama,joneshe01
1037,Hutch Jones,1983,1984,F,6-8,190,"September 1, 1959","Buffalo State, Vanderbilt",joneshu01
1038,Isaac Jones,2025,2025,F,6-8,245,"July 11, 2000","Wenatchee Valley College, Idaho, Washington State",jonesis01
1039,Jake Jones,1972,1972,G,6-3,180,"May 9, 1949",Assumption College,jonesja01
1040,Jalen Jones,2018,2019,G,6-7,220,"May 27, 1993","SMU, Texas A&M",jonesja04
1041,James Jones,2004,2017,F-G,6-8,218,"October 4, 1980",Miami (FL),jonesja02
1042,Jemerrio Jones,2019,2022,F,6-5,174,"April 9, 1995","Hill College, New Mexico State",jonesje01
1043,Jimmy Jones,1968,1977,G,6-4,188,"January 1, 1945",Grambling State University,jonesji01
1044,Johnny Jones,1968,1969,F,6-7,205,"March 12, 1943","California State University, Los Angeles",jonesjo01
1045,Jumaine Jones,2000,2007,F,6-8,218,"February 10, 1979",Georgia,jonesju01
1046,K.C. Jones,1959,1967,G,6-1,200,"May 25, 1932",San Francisco,joneskc01
1047,Kai Jones,2022,2025,F-C,6-11,218,"January 19, 2001",Texas,joneska01
1048,Kevin Jones,2013,2013,F,6-8,251,"August 25, 1989",West Virginia,joneske01
1049,Larry Jones,1965,1974,G-F,6-2,180,"September 22, 1942",Toledo,jonesla01
1050,Major Jones,1980,1985,F,6-9,225,"July 9, 1953",Albany State University,jonesma01
1051,Mark Jones,1984,1984,G,6-1,175,"April 10, 1961",St. Bonaventure,jonesma02
1052,Mark Jones,2005,2005,G,6-6,215,"May 25, 1975","Minnesota, Central Florida",jonesma03
1053,Mason Jones,2021,2025,G,6-4,200,"July 21, 1998","Connors State College, Arkansas",jonesma05
1054,Nick Jones,1968,1973,G,6-2,190,"March 28, 1945",Oregon,jonesni01
1055,Ozell Jones,1985,1986,C-F,6-11,235,"November 20, 1960","Wichita State, Cal State Fullerton",jonesoz01
1056,Perry Jones,2013,2015,F,6-11,235,"September 24, 1991",Baylor,jonespe01
1057,Popeye Jones,1994,2004,F,6-8,250,"June 17, 1970",Murray State,jonespo01
1058,Rich Jones,1970,1977,F-C,6-6,220,"December 27, 1946","Illinois, Memphis",jonesri01
1059,Robin Jones,1977,1978,F-C,6-9,225,"February 2, 1954",Saint Louis,jonesro01
1060,Sam Jones,1958,1969,G-F,6-4,198,"June 24, 1933",NC Central,jonessa01
1061,Shelton Jones,1989,1989,F,6-9,210,"April 6, 1966",St. John's,jonessh01
1062,Solomon Jones,2007,2014,F,6-10,230,"July 16, 1984",South Florida,jonesso01
1063,Spencer Jones,2025,2025,F,6-7,225,"June 14, 2001",Stanford,jonessp01
1064,Steve Jones,1968,1976,G-F,6-5,205,"October 17, 1942",Oregon,jonesst01
1065,Terrence Jones,2013,2019,F,6-9,252,"January 9, 1992",Kentucky,joneste01
1066,Tre Jones,2021,2025,G,6-1,185,"January 8, 2000",Duke,jonestr01
1067,Tyus Jones,2016,2025,G,6-1,196,"May 10, 1996",Duke,jonesty01
1068,Wah Wah Jones,1950,1952,F,6-4,225,"July 14, 1926",Kentucky,joneswa01
1069,Wali Jones,1965,1976,G,6-2,180,"February 14, 1942",Villanova,joneswa02
1070,Wil Jones,1970,1978,F,6-8,205,"February 27, 1947",Albany State University,joneswi02
1071,Willie Jones,1961,1965,G,6-3,185,"June 29, 1936",Northwestern,joneswi01
1072,Adonis Jordan,1994,1999,G,5-11,170,"August 21, 1970",Kansas,jordaad01
1073,Charles Jordan,1976,1976,F,6-8,220,"January 31, 1954",Canisius,jordach01
1074,DeAndre Jordan,2009,2025,C,6-11,265,"July 21, 1988",Texas A&M,jordade01
1075,Eddie Jordan,1978,1984,G,6-1,170,"January 29, 1955",Rutgers University,jordaed01
1076,Jerome Jordan,2012,2015,C,7-0,253,"September 29, 1986",Tulsa,jordaje01
1077,Michael Jordan,1985,2003,G-F,6-6,198,"February 17, 1963",UNC,jordami01
1078,Reggie Jordan,1994,2000,G,6-4,195,"January 26, 1968",New Mexico State,jordare01
1079,Thomas Jordan,1993,1993,F-C,6-10,220,"May 23, 1968",Oklahoma State,jordath01
1080,Walter Jordan,1981,1981,F,6-7,198,"February 19, 1956",Purdue,jordawa01
1081,Phil Jordon,1957,1963,C-F,6-10,205,"September 12, 1933",Whitworth,jordoph01
1082,Johnny Jorgensen,1948,1949,G-F,6-2,185,"December 28, 1921",DePaul,jorgejo01
1083,Noble Jorgensen,1947,1953,C,6-9,228,"May 18, 1925",Iowa,jorgeno01
1084,Roger Jorgensen,1947,1947,C-F,6-5,200,"September 2, 1920",Ohio State,jorgero01
1085,Cory Joseph,2012,2025,G,6-2,200,"August 20, 1991",Texas,josepco01
1086,Garth Joseph,2001,2001,C,7-2,315,"August 8, 1973",College of Saint Rose,josepga01
1087,Kris Joseph,2013,2013,F,6-7,210,"December 17, 1988",Syracuse,josepkr01
1088,Yvon Joseph,1986,1986,C,6-11,245,"October 31, 1957",Georgia Tech,josepyv01
1089,Nikola Jović,2023,2025,G-F,6-10,209,"June 9, 2003",,jovicni01
1090,Kevin Joyce,1974,1976,G,6-3,190,"June 27, 1951",South Carolina,joyceke01
1091,Butch Joyner,1969,1969,F,6-5,200,"April 26, 1945",Indiana,joynebu01
1092,Jeff Judkins,1979,1983,G-F,6-6,185,"March 23, 1956",Utah,judkije01
1093,Johnny Juzang,2023,2025,G,6-7,215,"March 17, 2001","Kentucky, UCLA",juzanjo01
0,Mfiondu Kabengele,2020,2023,F,6-9,250,"August 14, 1997",Florida State,kabenmf01
1,Whitey Kachan,1949,1949,G,6-2,175,"September 15, 1925",DePaul,kachawh01
2,George Kaftan,1949,1953,F,6-3,190,"February 22, 1928",Holy Cross,kaftage01
3,Ed Kalafat,1955,1957,C-F,6-6,245,"October 13, 1932",Minnesota,kalafed01
4,Georgios Kalaitzakis,2022,2022,G-F,6-8,192,"January 2, 1999",,kalaige01
5,Chris Kaman,2004,2016,C,7-0,265,"April 28, 1982",Central Michigan University,kamanch01
6,Frank Kaminsky,2016,2023,F-C,7-0,240,"April 4, 1993",Wisconsin,kaminfr01
7,Ralph Kaplowitz,1947,1948,G-F,6-2,170,"May 18, 1919",NYU,kaplora01
8,Jason Kapono,2004,2012,F,6-8,213,"February 4, 1981",UCLA,kaponja01
9,Tony Kappen,1947,1947,G,5-10,165,"April 13, 1919",,kappeto01
10,Sergey Karasev,2014,2016,G-F,6-7,208,"October 26, 1993",,karasse01
11,Coby Karl,2008,2010,G,6-5,215,"March 6, 1983",Boise State,karlco01
12,George Karl,1974,1978,G,6-2,190,"May 12, 1951",UNC,karlge01
13,Ed Kasid,1947,1947,G,5-11,185,"August 13, 1923",,kasided01
14,Mario Kasun,2005,2006,C,7-1,260,"April 5, 1980",,kasunma01
15,Leo Katkaveck,1949,1950,G,6-0,185,"April 17, 1923",NC State,katkale01
16,Bob Kauffman,1969,1975,F-C,6-8,240,"July 13, 1946",Guilford College,kauffbo01
17,Sasha Kaun,2016,2016,C,6-11,260,"May 8, 1985",Kansas,kaunsa01
18,Wilbert Kautz,1947,1947,G-F,6-0,180,"September 7, 1915",Loyola Chicago,kautzwi01
19,Yuki Kawamura,2025,2025,G,5-8,159,"May 2, 2001",,kawamyu01
20,Clarence Kea,1981,1982,F,6-6,218,"February 2, 1959",Lamar,keacl01
21,Mike Kearns,1955,1955,G,6-2,178,"June 18, 1929",Princeton,kearnmi01
22,Tommy Kearns,1959,1959,G,5-11,185,"October 6, 1936",UNC,kearnto01
23,Adam Keefe,1993,2001,F,6-9,230,"February 22, 1970",Stanford,keefead01
24,Harold Keeling,1986,1986,G,6-4,185,"September 18, 1963",Santa Clara,keeliha01
25,Trevor Keels,2023,2023,G,6-5,221,"August 26, 2003",Duke,keelstr01
26,Bill Keller,1970,1976,G,5-10,177,"August 30, 1947",Purdue,kellebi01
27,Gary Keller,1968,1969,F-C,6-9,220,"June 13, 1944",Florida,kellega01
28,Ken Keller,1947,1947,G,6-1,180,"August 16, 1922",St. John's,kelleke01
29,Kylor Kelley,2025,2025,F,7-0,215,"August 26, 1997",Oregon State,kelleky01
30,Rich Kelley,1976,1986,C-F,7-0,235,"March 23, 1953",Stanford,kelleri01
31,Clark Kellogg,1983,1987,F,6-7,225,"July 2, 1961",Ohio State,kellocl01
32,Arvesta Kelly,1968,1972,G,6-2,175,"November 20, 1945",Lincoln University of Missouri,kellyar01
33,Jerry Kelly,1947,1948,F,6-2,172,"June 14, 1918",,kellyje01
34,Ryan Kelly,2014,2017,F,6-11,230,"April 9, 1991",Duke,kellyry01
35,Tom Kelly,1949,1949,G,6-0,170,"March 5, 1924",NYU,kellyto01
36,Greg Kelser,1980,1985,F,6-7,190,"September 17, 1957",Michigan State,kelsegr01
37,Ben Kelso,1974,1974,G,6-3,195,"April 11, 1949",Central Michigan University,kelsobe01
38,Shawn Kemp,1990,2003,F-C,6-10,230,"November 26, 1969","Trinity Valley CC, Kentucky",kempsh01
39,Tim Kempton,1987,1998,F-C,6-10,245,"January 25, 1964",Notre Dame,kemptti01
40,Frank Kendrick,1975,1975,F,6-6,198,"September 11, 1950",Purdue,kendrfr01
41,Luke Kennard,2018,2025,G,6-5,206,"June 24, 1996",Duke,kennalu01
42,D.J. Kennedy,2012,2012,F,6-6,215,"November 5, 1989",St. John's,kennedj01
43,Goo Kennedy,1972,1977,F-C,6-5,205,"August 23, 1949","Fort Worth Community College, TCU",kennego01
44,Joe Kennedy,1969,1971,F,6-6,210,"January 12, 1947",Duke,kennejo01
45,Pickles Kennedy,1961,1961,G,5-11,180,"May 17, 1938",Temple,kennepi01
46,Larry Kenon,1974,1983,F,6-9,205,"December 13, 1952","Amarillo College, Memphis",kenonla01
47,Billy Kenville,1954,1960,G-F,6-2,187,"December 1, 1930",St. Bonaventure,kenvibi01
48,Jonathan Kerner,1999,1999,C,6-11,245,"June 6, 1974","Florida State, East Carolina University",kernejo01
49,Red Kerr,1955,1966,C-F,6-9,230,"July 17, 1932",Illinois,kerrre01
50,Steve Kerr,1989,2003,G,6-3,175,"September 27, 1965",Arizona,kerrst01
51,Jack Kerris,1950,1953,F-C,6-6,215,"January 30, 1925",Loyola Chicago,kerrija01
52,Jerome Kersey,1985,2001,F,6-7,215,"June 26, 1962",Longwood University,kerseje01
53,Tom Kerwin,1968,1968,F,6-7,210,"July 19, 1944",Centenary (LA),kerwito01
54,Alec Kessler,1991,1994,F-C,6-11,230,"January 13, 1967",Georgia,kesslal01
55,Walker Kessler,2023,2025,C,7-0,245,"July 26, 2001","UNC, Auburn",kesslwa01
56,Lari Ketner,2000,2001,F-C,6-9,277,"February 1, 1977",UMass,ketnela01
57,Braxton Key,2022,2024,F,6-8,230,"February 14, 1997","Alabama, Virginia",keybr01
58,Julius Keye,1970,1975,F-C,6-10,200,"September 5, 1946","South Carolina State, Alcorn State",keyeju01
59,Randolph Keys,1989,1996,F-G,6-7,195,"April 19, 1966",Southern Miss,keysra01
60,Viktor Khryapa,2005,2008,F,6-9,210,"August 3, 1982",,khryavi01
61,Jason Kidd,1995,2013,G,6-4,205,"March 23, 1973",California,kiddja01
62,Stanton Kidd,2020,2020,F,6-6,215,"March 18, 1992","South Plains College, NC Central, Colorado State",kiddst01
63,Warren Kidd,1994,1994,F,6-9,235,"September 9, 1970",Middle Tennessee,kiddwa01
64,Michael Kidd-Gilchrist,2013,2020,F,6-6,232,"September 26, 1993",Kentucky,kiddgmi01
65,Irv Kiffin,1980,1980,F,6-9,225,"August 8, 1951",Oklahoma Baptist University,kiffiir01
66,Jack Kiley,1952,1953,G,6-1,170,"January 5, 1929",Syracuse,kileyja01
67,Earnie Killum,1971,1971,G,6-3,180,"June 11, 1948",Stetson University,killuea01
68,Carl Kilpatrick,1980,1980,C,6-10,230,"May 16, 1956",Louisiana-Monroe,kilpaca01
69,Sean Kilpatrick,2015,2018,G,6-4,210,"January 6, 1990",Cincinnati,kilpase01
70,Toby Kimball,1967,1975,F-C,6-6,220,"September 7, 1942",UConn,kimbato01
71,Bo Kimble,1991,1993,G,6-4,190,"April 9, 1966","USC, Loyola Marymount",kimblbo01
72,Stan Kimbrough,1990,1993,G,5-11,153,"April 24, 1966","Central Florida, Xavier",kimbrst01
73,Chad Kinch,1981,1981,G,6-4,190,"May 22, 1958",UNC Charlotte,kinchch01
74,Albert King,1982,1992,F-G,6-6,190,"December 17, 1959",Maryland,kingal01
75,Bernard King,1978,1993,F,6-7,205,"December 4, 1956",Tennessee,kingbe01
76,Chris King,1994,1999,F,6-8,215,"July 24, 1969",Wake Forest,kingch01
77,Dan King,1955,1955,F,6-6,220,"January 7, 1931",Western Kentucky,kingda01
78,Frankie King,1996,1997,G,6-1,185,"June 6, 1972",Western Carolina University,kingfr01
79,George King,1952,1958,G,6-0,175,"August 16, 1928",University of Charleston,kingge01
80,George King,2019,2022,G-F,6-6,225,"January 15, 1994",Colorado,kingge03
81,Gerard King,1999,2001,F,6-9,230,"November 25, 1972",Nicholls State,kingge02
82,Jim King,1964,1973,G,6-2,175,"February 7, 1941",Tulsa,kingji01
83,Jimmy King,1996,1997,G,6-5,210,"August 9, 1973",Michigan,kingji02
84,Louis King,2020,2023,F,6-7,205,"April 6, 1999",Oregon,kinglo02
85,Loyd King,1972,1973,G,6-2,180,"May 29, 1949",Virginia Tech,kinglo01
86,Maurice King,1960,1963,G,6-2,195,"March 12, 1935",Kansas,kingma01
87,Reggie King,1980,1985,F,6-6,225,"February 14, 1957",Alabama,kingre01
88,Rich King,1992,1995,C,7-2,260,"April 4, 1969",Nebraska,kingri01
89,Ron King,1974,1974,G,6-4,185,"July 11, 1951",Florida State,kingro01
90,Stacey King,1990,1997,F-C,6-11,230,"January 29, 1967",Oklahoma,kingst01
91,Tom King,1947,1947,G,6-0,165,"March 9, 1924",Michigan,kingto01
92,Bob Kinney,1949,1950,C-F,6-6,215,"September 16, 1920",Rice University,kinnebo01
93,Tarence Kinsey,2007,2009,G,6-6,185,"March 21, 1984",South Carolina,kinseta01
94,Andrei Kirilenko,2002,2015,F,6-9,220,"February 18, 1981",,kirilan01
95,Alex Kirk,2015,2015,C,7-0,245,"November 14, 1991",New Mexico,kirkal01
96,Walt Kirk,1949,1952,G-F,6-3,173,"September 3, 1924",Illinois,kirkwa01
97,Wilbur Kirkland,1970,1970,F,6-7,190,,Cheyney (PA),kirklwi01
98,Corey Kispert,2022,2025,G-F,6-7,220,"March 3, 1999",Gonzaga,kispeco01
99,Jim Kissane,1969,1969,F,6-7,210,"August 17, 1946",Boston College,kissaji01
100,Doug Kistler,1962,1962,F,6-9,210,"March 21, 1938",Duke,kistldo01
101,Curtis Kitchen,1987,1987,F,6-9,235,"January 30, 1964",South Florida,kitchcu01
102,Greg Kite,1984,1995,C,6-11,250,"August 5, 1961",BYU,kitegr01
103,Kerry Kittles,1997,2005,G,6-5,179,"June 12, 1974",Villanova,kittlke01
104,Maxi Kleber,2018,2025,F,6-10,240,"January 29, 1992",,klebima01
105,Joe Kleine,1986,2000,C,6-11,255,"January 4, 1962","Notre Dame, Arkansas",kleinjo01
