Player,Team,From,To,Position,Height,Weight,Birth Date,College,bball_id,draft_year,draft_round,draft_number
Jerome Dyson,,2012.0,2012.0,G,6-3,180.0,"May 1, 1987",UConn,dysonje01,,,
Jerome Harmon,,1995.0,1995.0,G,6-4,190.0,"February 6, 1969",Louisville,harmoje01,,,
Jerome Henderson,,1986.0,1987.0,C-F,6-11,230.0,"October 5, 1959",New Mexico,hendeje01,,,
Jerome James,Unknown,1999.0,2009.0,C,7-0,300.0,"November 17, 1975",Florida A&M,jamesje01,1998.0,2.0,36.0
Jerome Jordan,Unknown,2012.0,2015.0,C,7-0,253.0,"September 29, 1986",Tulsa,jordaje01,2010.0,2.0,44.0
Jerome Kersey,Unknown,1985.0,2001.0,F,6-7,215.0,"June 26, 1962",Longwood University,kerseje01,1984.0,2.0,46.0
Jerome Lane,Unknown,1989.0,1993.0,F,6-6,230.0,"December 4, 1966",Pitt,laneje01,1988.0,1.0,23.0
Jerome Robinson,Unknown,2019.0,2024.0,G,6-4,190.0,"February 22, 1997",Boston College,robinje01,2018.0,1.0,13.0
Jerome Whitehead,Unknown,1979.0,1989.0,C-F,6-10,220.0,"September 30, 1956",Marquette,whiteje01,1978.0,2.0,41.0
Jerome Williams,Unknown,1997.0,2005.0,F,6-9,206.0,"May 10, 1973",Georgetown,willije01,1996.0,1.0,26.0
Jerrelle Benimon,,2015.0,2015.0,F,6-8,245.0,"August 1, 1991","Georgetown, Towson University",benimje01,,,
Jerrod Mustaf,Unknown,1991.0,1994.0,F-C,6-10,238.0,"October 28, 1969",Maryland,mustaje01,1990.0,1.0,17.0
Jerry Baskerville,,1976.0,1976.0,F,6-7,190.0,"November 10, 1951",Temple,baskeje01,,,
Jerry Bird,Unknown,1959.0,1959.0,F,6-6,210.0,"February 2, 1935",Kentucky,birdje01,1956.0,1.0,19.0
Jerry Chambers,Unknown,1967.0,1974.0,F,6-5,185.0,"July 18, 1943","Trinidad State Junior College, Utah",chambje01,1966.0,1.0,7.0
Jerry Dover,,1972.0,1972.0,G,5-7,155.0,"October 16, 1949",LeMoyne-Owen College,doverje01,,,
Jerry Eaves,Unknown,1983.0,1987.0,G,6-4,180.0,"February 8, 1959",Louisville,eavesje01,1982.0,2.0,55.0
Jerry Fleishman,,1947.0,1953.0,G-F,6-2,190.0,"February 14, 1922",NYU,fleisje01,,,
Jerry Fowler,,1952.0,1952.0,C,6-8,230.0,"June 20, 1927",Missouri,fowleje01,,,
Jerry Greenspan,Unknown,1964.0,1965.0,F,6-5,195.0,"November 22, 1941",Maryland,greenje01,1963.0,1.0,25.0
Jerry Grote,Unknown,1965.0,1965.0,G,6-4,215.0,"December 28, 1940",Loyola Marymount,groteje01,1962.0,1.0,30.0
Jerry Harkness,Unknown,1964.0,1969.0,G,6-2,175.0,"May 7, 1940",Loyola Chicago,harknje01,1962.0,2.0,67.0
Jerry Kelly,,1947.0,1948.0,F,6-2,172.0,"June 14, 1918",,kellyje01,,,
Jerry Lucas,Unknown,1964.0,1974.0,F-C,6-8,230.0,"March 30, 1940",Ohio State,lucasje01,1962.0,1.0,6.0
Jerry McKee,Unknown,1970.0,1970.0,G,6-3,190.0,"August 4, 1946",Ohio University,mckeeje01,1969.0,2.0,155.0
Jerry Nagel,,1950.0,1950.0,G,6-0,190.0,"May 18, 1928",Loyola Chicago,nagelje01,,,
Jerry Paulson,Unknown,1958.0,1958.0,G,6-2,185.0,"July 21, 1935",Manhattan University,paulsje01,1957.0,1.0,17.0
Jerry Pender,Unknown,1974.0,1974.0,G,6-2,185.0,"February 12, 1950","Merced College, Fresno State",pendeje01,1972.0,2.0,112.0
Jerry Pettway,Unknown,1968.0,1969.0,G-F,6-3,185.0,"February 13, 1944",Northwood University,pettwje01,1967.0,2.0,144.0
Jerry Reynolds,Unknown,1986.0,1996.0,G-F,6-8,200.0,"December 23, 1962",LSU,reynoje01,1985.0,1.0,22.0
Jerry Rook,Unknown,1970.0,1970.0,F,6-5,219.0,"October 27, 1943",Arkansas State University,rookje01,1965.0,2.0,100.0
Jerry Rullo,,1947.0,1950.0,G,5-10,165.0,"June 23, 1923",Temple,rulloje01,,,
Jerry Sichting,Unknown,1981.0,1990.0,G,6-1,168.0,"November 29, 1956",Purdue,sichtje01,1979.0,2.0,82.0
Jerry Sloan,Unknown,1966.0,1976.0,G-F,6-5,195.0,"March 28, 1942",University of Evansville,sloanje01,1964.0,1.0,21.0
Jerry Smith,Unknown,2012.0,2012.0,G,6-2,190.0,"September 26, 1987",Louisville,smithje01,1963.0,1.0,13.0
Jerry Stackhouse,Unknown,1996.0,2013.0,G-F,6-6,218.0,"November 5, 1974",UNC,stackje01,1995.0,1.0,3.0
Jerry West,Unknown,1961.0,1974.0,G,6-3,175.0,"May 28, 1938",West Virginia,westje01,1960.0,1.0,2.0
Jerryd Bayless,Unknown,2009.0,2019.0,G,6-3,200.0,"August 20, 1988",Arizona,bayleje01,2008.0,1.0,11.0
Jeryl Sasser,Unknown,2002.0,2003.0,G,6-6,200.0,"February 13, 1979",SMU,sasseje01,2001.0,1.0,22.0
Jesse Arnelle,Unknown,1956.0,1956.0,F,6-5,220.0,"December 30, 1933",Penn State,arnelje01,1955.0,1.0,15.0
Jesse Branson,Unknown,1966.0,1968.0,F,6-7,195.0,"January 7, 1942",Elon University,bransje01,1965.0,1.0,16.0
Jesse Dark,Unknown,1975.0,1975.0,G,6-5,210.0,"September 2, 1951",VCU,darkje01,1974.0,2.0,32.0
Jett Howard,Orlando Magic,2024.0,2025.0,G,6-8,215.0,"September 14, 2003",Michigan,howarje01,2023.0,1.0,11.0
Jevon Carter,Chicago Bulls,2019.0,2025.0,G,6-1,200.0,"September 14, 1995",West Virginia,carteje01,2018.0,2.0,32.0
Jim Ard,Unknown,1971.0,1978.0,F-C,6-8,215.0,"September 19, 1948",Cincinnati,ardji01,1970.0,1.0,6.0
Jim Baechtold,,1953.0,1957.0,F-G,6-4,205.0,"December 9, 1927",Eastern Kentucky University,baechji01,,,
Jim Barnes,Unknown,1965.0,1971.0,C-F,6-8,210.0,"April 13, 1941",Texas-El Paso,barneji01,1964.0,1.0,1.0
Jim Barnett,Unknown,1967.0,1977.0,G-F,6-4,170.0,"July 7, 1944",Oregon,barneji02,1966.0,1.0,8.0
Jim Bostic,Unknown,1978.0,1978.0,F,6-7,225.0,"January 28, 1953",New Mexico State,bostiji01,1975.0,2.0,139.0
Jim Bradley,Unknown,1974.0,1976.0,F,6-8,215.0,"March 16, 1952",Northern Illinois,bradlji01,1974.0,2.0,48.0
Jim Brasco,,1953.0,1953.0,G,6-1,170.0,"February 3, 1931",NYU,brascji01,,,
Jim Brewer,Unknown,1974.0,1982.0,F-C,6-9,210.0,"December 3, 1951",Minnesota,breweji01,1973.0,1.0,2.0
Jim Brogan,,1982.0,1983.0,G,6-4,185.0,"February 24, 1958",West Virginia Wesleyan College,brogaji01,,,
Jim Browne,,1949.0,1950.0,C,6-10,235.0,"January 1, 1930",,brownji01,,,
Jim Burns,Unknown,1968.0,1968.0,G,6-3,195.0,"September 21, 1945",Northwestern,burnsji01,1967.0,2.0,34.0
Jim Caldwell,Unknown,1968.0,1969.0,C,6-10,240.0,"January 28, 1943",Georgia Tech,caldwji01,1965.0,1.0,28.0
Jim Chones,Unknown,1973.0,1982.0,C-F,6-11,220.0,"November 30, 1949",Marquette,choneji01,1973.0,2.0,31.0
Jim Cleamons,Unknown,1972.0,1980.0,G,6-3,185.0,"September 13, 1949",Ohio State,cleamji01,1971.0,1.0,13.0
Jim Creighton,Unknown,1976.0,1976.0,F,6-8,200.0,"April 18, 1950",Colorado,creigji01,1972.0,2.0,40.0
Jim Davis,Unknown,1968.0,1975.0,C-F,6-9,225.0,"December 18, 1941",Colorado,davisji01,1964.0,1.0,29.0
Jim Eakins,Unknown,1969.0,1978.0,C,6-11,215.0,"May 24, 1946",BYU,eakinji01,1968.0,2.0,57.0
Jim Farmer,Unknown,1988.0,1994.0,G,6-4,190.0,"September 23, 1964",Alabama,farmeji01,1987.0,1.0,20.0
Jim Fox,Unknown,1968.0,1977.0,C-F,6-10,230.0,"April 7, 1943",South Carolina,foxji01,1965.0,2.0,70.0
Jim Fritsche,,1954.0,1955.0,F-C,6-8,210.0,"December 10, 1931",Hamline University,fritsji01,,,
Jim Garvin,Unknown,1974.0,1974.0,F,6-7,200.0,"February 5, 1950",Boston University,garviji01,1973.0,2.0,204.0
Jim Grandholm,Unknown,1991.0,1991.0,F-C,7-0,235.0,"October 4, 1960","Florida, South Florida",grandji01,1984.0,2.0,76.0
Jim Hadnot,Unknown,1968.0,1968.0,C-F,6-10,235.0,"January 15, 1940",Providence,hadnoji01,1962.0,1.0,27.0
Jim Hayes,Unknown,1971.0,1971.0,G,6-3,200.0,"February 18, 1948",Boston University,hayesji01,1970.0,2.0,47.0
Jim Holstein,,1953.0,1956.0,F-G,6-3,180.0,"September 24, 1930",Cincinnati,holstji01,,,
Jim Jackson,Unknown,1993.0,2006.0,G,6-6,220.0,"October 14, 1970",Ohio State,jacksji01,1992.0,1.0,4.0
Jim Jarvis,Unknown,1968.0,1969.0,G,6-1,175.0,"March 3, 1943",Oregon State,jarviji01,1965.0,2.0,48.0
Jim Johnstone,Unknown,1983.0,1983.0,C-F,6-11,245.0,"September 20, 1960",Wake Forest,johnsji01,1982.0,2.0,51.0
Jim King,Unknown,1964.0,1973.0,G,6-2,175.0,"February 7, 1941",Tulsa,kingji01,1963.0,1.0,14.0
Jim Kissane,Unknown,1969.0,1969.0,F,6-7,210.0,"August 17, 1946",Boston College,kissaji01,1968.0,2.0,55.0
Jim Krebs,Unknown,1958.0,1964.0,C-F,6-8,230.0,"September 8, 1935",SMU,krebsji01,1957.0,1.0,3.0
Jim Lampley,Unknown,1987.0,1987.0,C,6-10,230.0,"July 2, 1960","Vanderbilt, Little Rock",lamplji01,1983.0,2.0,102.0
Jim Les,Unknown,1989.0,1995.0,G,5-11,165.0,"August 18, 1963","Cleveland State University, Bradley",lesji01,1986.0,2.0,70.0
Jim Loscutoff,Unknown,1956.0,1964.0,F,6-5,220.0,"February 4, 1930",Oregon,loscuji01,1955.0,1.0,4.0
Jim Luisi,,1954.0,1954.0,G,6-2,180.0,"November 2, 1928",St. Francis College,luisiji01,,,
Jim Marsh,Unknown,1972.0,1972.0,F,6-7,215.0,"April 26, 1946",USC,marshji01,1968.0,2.0,136.0
Jim McDaniels,Unknown,1972.0,1978.0,C-F,6-11,228.0,"April 2, 1948",Western Kentucky,mcdanji01,1971.0,1.0,23.0
Jim McElroy,Unknown,1976.0,1982.0,G,6-3,190.0,"October 4, 1953",Central Michigan University,mcelrji01,1975.0,2.0,38.0
Jim McIlvaine,Unknown,1995.0,2001.0,C,7-1,240.0,"July 30, 1972",Marquette,mcilvji01,1994.0,2.0,32.0
Jim McMillian,Unknown,1971.0,1979.0,F,6-5,215.0,"March 11, 1948",Columbia University,mcmilji01,1970.0,1.0,13.0
Jim Mooney,,1953.0,1953.0,F,6-5,215.0,"July 8, 1930",Villanova,mooneji01,,,
Jim Neal,,1954.0,1955.0,C,6-11,235.0,"May 21, 1930",Wofford College,nealji01,,,
Jim Nolan,,1950.0,1950.0,C,6-8,210.0,"June 9, 1927",Georgia Tech,nolanji01,,,
Jim O'Brien,Unknown,1974.0,1975.0,F,6-7,200.0,"November 7, 1951",Maryland,obrieji02,1973.0,2.0,37.0
Jim Owens,Unknown,1974.0,1975.0,F,6-5,200.0,"May 1, 1950",Arizona State,owensji01,1973.0,2.0,128.0
Jim Palmer,Unknown,1959.0,1961.0,F-C,6-8,224.0,"June 8, 1933",Dayton,palmeji01,1957.0,1.0,12.0
Jim Paxson,Unknown,1957.0,1958.0,F-G,6-6,200.0,"December 19, 1932",Dayton,paxsoji01,1956.0,1.0,3.0
Jim Paxson,Unknown,1980.0,1990.0,G-F,6-6,200.0,"July 9, 1957",Dayton,paxsoji02,1956.0,1.0,3.0
Jim Petersen,Unknown,1985.0,1992.0,F-C,6-10,235.0,"February 22, 1962",Minnesota,peterji01,1984.0,2.0,51.0
Jim Phelan,,1954.0,1954.0,G,6-1,175.0,"March 19, 1929",La Salle,phelaja02,,,
Jim Pollard,,1949.0,1955.0,F-C,6-4,185.0,"July 9, 1922",Stanford,pollaji01,,,
Jim Price,Unknown,1973.0,1979.0,G,6-3,195.0,"November 27, 1949",Louisville,priceji01,1972.0,1.0,16.0
Jim Ray,Unknown,1957.0,1960.0,G,6-1,180.0,"January 12, 1934",Toledo,rayji01,1956.0,2.0,37.0
Jim Reid,Unknown,1968.0,1968.0,F,6-6,210.0,"August 3, 1945",Winston-Salem State,reidji01,1967.0,2.0,53.0
Jim Riffey,,1951.0,1951.0,F,6-4,200.0,"December 14, 1923",Tulane,riffeji01,,,
Jim Rowinski,Unknown,1989.0,1990.0,F-C,6-8,250.0,"January 4, 1961",Purdue,rowinji01,1984.0,2.0,86.0
Jim Seminoff,,1947.0,1950.0,G-F,6-2,190.0,"September 1, 1922",USC,seminji01,,,
Jim Slaughter,,1952.0,1952.0,C,6-11,210.0,"May 13, 1928",South Carolina,slaugji01,,,
Jim Smith,Unknown,1982.0,1983.0,F,6-9,225.0,"April 12, 1958",Ohio State,smithji01,1971.0,2.0,124.0
Jim Spanarkel,Unknown,1980.0,1984.0,G-F,6-5,190.0,"June 28, 1957",Duke,spanaji01,1979.0,1.0,16.0
Jim Springer,Unknown,1949.0,1949.0,C,6-9,235.0,"June 17, 1926",,sprinji01,1956.0,2.0,66.0
Jim Spruill,,1949.0,1949.0,G,6-2,225.0,"February 26, 1923",Rice University,spruiji01,,,
Jim Thomas,Unknown,1984.0,1991.0,G,6-3,190.0,"October 19, 1960",Indiana,thomaji01,1983.0,2.0,40.0
Jim Tucker,,1955.0,1957.0,F,6-7,185.0,"December 11, 1932",Duquesne,tuckeji01,,,
Jim Walsh,,1958.0,1958.0,F,6-4,195.0,"August 29, 1930",Stanford,walshji01,,,
Jim Ware,Unknown,1967.0,1969.0,F,6-7,210.0,"May 2, 1944",Oklahoma City University,wareji01,1966.0,1.0,26.0
Jim Washington,Unknown,1966.0,1976.0,F-C,6-6,210.0,"July 1, 1943",Villanova,washiji01,1965.0,1.0,8.0
Jim Wilson,Unknown,1971.0,1971.0,G,5-10,175.0,,Cheyney (PA),wilsoji01,1970.0,2.0,62.0
Jim Zoet,,1983.0,1983.0,C,7-1,240.0,"December 20, 1953",Kent State University,zoetji01,,,
Jimmer Fredette,Unknown,2012.0,2019.0,G,6-2,195.0,"February 25, 1989",BYU,fredeji01,2011.0,1.0,10.0
Jimmie Baker,Unknown,1976.0,1976.0,F,6-9,220.0,"December 25, 1953","UNLV, Hawaii",bakerji01,1975.0,2.0,39.0
Jimmy Butler,Miami Heat,2012.0,2025.0,F-G,6-7,230.0,"September 14, 1989","Tyler Junior College, Marquette",butleji01,2011.0,1.0,30.0
Jimmy Carruth,,1997.0,1997.0,C-F,6-10,265.0,"November 4, 1969",Virginia Tech,carruji01,,,
Jimmy Collins,Unknown,1971.0,1972.0,G,6-2,175.0,"November 24, 1946",New Mexico State,colliji01,1970.0,1.0,11.0
Jimmy Conner,Unknown,1976.0,1976.0,G,6-4,190.0,"March 20, 1953",Kentucky,conneji01,1975.0,2.0,36.0
Jimmy Darden,,1950.0,1950.0,G,6-1,170.0,"June 19, 1922",Denver,dardeji01,,,
Jimmy Darrow,Unknown,1962.0,1962.0,G,5-10,170.0,"September 25, 1937",Bowling Green,darroji01,1960.0,2.0,38.0
Jimmy Dawson,Unknown,1968.0,1968.0,G,6-0,175.0,"April 18, 1945",Illinois,dawsoji01,1967.0,2.0,154.0
Jimmy Foster,Unknown,1975.0,1976.0,G,6-1,175.0,"December 16, 1951",UConn,fosteja01,1974.0,2.0,57.0
Jimmy Jones,Unknown,1968.0,1977.0,G,6-4,188.0,"January 1, 1945",Grambling State University,jonesji01,1967.0,1.0,13.0
Jimmy King,Unknown,1996.0,1997.0,G,6-5,210.0,"August 9, 1973",Michigan,kingji02,1995.0,2.0,35.0
Jimmy O'Brien,Unknown,1972.0,1975.0,G,6-1,170.0,"April 9, 1950",Boston College,obrieji01,1971.0,2.0,53.0
Jimmy Oliver,Unknown,1992.0,1999.0,G-F,6-5,205.0,"July 12, 1969",Purdue,oliveji01,1991.0,2.0,39.0
Jimmy Rayl,Unknown,1968.0,1969.0,G,6-2,175.0,"June 21, 1941",Indiana,raylji01,1963.0,1.0,23.0
Jimmy Walker,Unknown,1968.0,1976.0,G,6-3,195.0,"April 8, 1944",Providence,walkeji01,1967.0,1.0,1.0
Jiří Welsch,,2003.0,2006.0,G,6-7,208.0,"January 27, 1980",,welscji01,,,
Jo Jo English,,1993.0,1995.0,G,6-4,195.0,"February 4, 1970",South Carolina,englijo01,,,
Jo Jo White,Unknown,1970.0,1981.0,G,6-3,190.0,"November 16, 1946",Kansas,whitejo01,1969.0,1.0,9.0
Joakim Noah,Unknown,2008.0,2020.0,C,6-11,230.0,"February 25, 1985",Florida,noahjo01,2007.0,1.0,9.0
Joby Wright,Unknown,1973.0,1976.0,F-C,6-8,220.0,"September 5, 1950",Indiana,wrighjo01,1972.0,1.0,18.0
Jock Landale,,2022.0,2025.0,C,6-11,256.0,"October 25, 1995",Saint Mary's,landajo01,,,
Jodie Meeks,Unknown,2010.0,2019.0,G,6-4,210.0,"August 21, 1987",Kentucky,meeksjo01,2009.0,2.0,41.0
Joe Alexander,Unknown,2009.0,2010.0,F,6-8,230.0,"December 26, 1986",West Virginia,alexajo01,2008.0,1.0,8.0
Joe Arlauckas,Unknown,1988.0,1988.0,F,6-9,230.0,"July 20, 1965",Niagara University,arlaujo01,1987.0,2.0,74.0
Joe Barry Carroll,Unknown,1981.0,1991.0,C-F,7-0,225.0,"July 24, 1958",Purdue,carrojo01,1980.0,1.0,1.0
Joe Binion,Unknown,1987.0,1987.0,F,6-8,235.0,"March 26, 1961",North Carolina A&T,biniojo01,1984.0,2.0,57.0
Joe Bradley,,1950.0,1950.0,G,6-3,175.0,"September 24, 1928",Oklahoma State,bradljo01,,,
Joe Bryant,Unknown,1976.0,1983.0,F-C,6-9,185.0,"October 19, 1954",La Salle,bryanjo01,1975.0,1.0,14.0
Joe Buckhalter,Unknown,1962.0,1963.0,F,6-7,210.0,"August 1, 1937",Tennessee State,buckhjo01,1958.0,2.0,82.0
Joe Caldwell,Unknown,1965.0,1975.0,F-G,6-5,195.0,"November 1, 1941",Arizona State,caldwjo01,1964.0,1.0,2.0
Joe Chealey,,2019.0,2020.0,G,6-3,190.0,"November 1, 1995",College of Charleston,chealjo01,,,
Joe Colone,,1949.0,1949.0,F,6-5,210.0,"January 23, 1924",Bloomsburg University of Pennsylvania,colonjo01,,,
Joe Cooke,Unknown,1971.0,1971.0,G,6-3,175.0,"August 14, 1948",Indiana,cookejo01,1970.0,2.0,94.0
Joe Cooper,Unknown,1982.0,1985.0,C-F,6-10,230.0,"September 1, 1957","Howard College, Tulsa, Colorado",coopejo01,1981.0,2.0,95.0
Joe Courtney,,1993.0,1997.0,F,6-8,235.0,"October 17, 1969","Mississippi State, Southern Miss",courtjo01,,,
Joe Crawford,Unknown,2009.0,2009.0,F,6-5,210.0,"June 17, 1986",Kentucky,crawfjo01,2008.0,2.0,58.0
Joe Crispin,,2002.0,2002.0,G,6-0,185.0,"July 18, 1979",Penn State,crispjo01,,,
Joe DePre,Unknown,1971.0,1973.0,G,6-3,185.0,"December 19, 1947",St. John's,deprejo01,1970.0,1.0,29.0
Joe Dolhon,,1950.0,1951.0,G,6-0,175.0,"July 9, 1927",NYU,dolhojo01,,,
Joe Dumars,Unknown,1986.0,1999.0,G,6-3,190.0,"May 24, 1963",McNeese State University,dumarjo01,1985.0,1.0,18.0
Joe Ellis,Unknown,1967.0,1974.0,F-G,6-6,175.0,"May 3, 1944",San Francisco,ellisjo01,1966.0,1.0,13.0
Joe Fabel,,1947.0,1947.0,F-G,6-1,190.0,"May 15, 1917",Pitt,fabeljo01,,,
Joe Fulks,,1947.0,1954.0,F-C,6-5,190.0,"October 26, 1921","Millsaps College, Murray State",fulksjo01,,,
Joe Graboski,,1949.0,1962.0,F-C,6-7,195.0,"January 15, 1930",,grabojo01,,,
Joe Hamilton,Unknown,1971.0,1976.0,G,5-10,160.0,"July 5, 1948","Southwestern Christian College, University of North Texas",hamiljo01,1970.0,2.0,152.0
Joe Hamood,,1968.0,1968.0,G,6-0,180.0,"September 7, 1943",Houston,hamoojo01,,,
Joe Harris,Unknown,2015.0,2024.0,G,6-6,220.0,"September 6, 1991",Virginia,harrijo01,2014.0,2.0,33.0
Joe Hassett,Unknown,1978.0,1983.0,G,6-5,180.0,"September 11, 1955",Providence,hassejo01,1977.0,2.0,52.0
Joe Holland,,1950.0,1952.0,F,6-4,185.0,"September 26, 1925",Kentucky,hollajo01,,,
Joe Holup,Unknown,1957.0,1959.0,F,6-6,215.0,"February 26, 1934",George Washington,holupjo01,1956.0,1.0,5.0
Joe Hutton,,1951.0,1952.0,G,6-1,170.0,"October 6, 1928",Hamline University,huttojo01,,,
Joe Ingles,,2015.0,2025.0,F-G,6-8,220.0,"October 2, 1987",,inglejo01,,,
Joe Johnson,Unknown,2002.0,2022.0,G-F,6-7,240.0,"June 29, 1981",Arkansas,johnsjo02,2001.0,1.0,10.0
Joe Kennedy,Unknown,1969.0,1971.0,F,6-6,210.0,"January 12, 1947",Duke,kennejo01,1968.0,2.0,122.0
Joe Kleine,Unknown,1986.0,2000.0,C,6-11,255.0,"January 4, 1962","Notre Dame, Arkansas",kleinjo01,1985.0,1.0,6.0
Joe Kopicki,Unknown,1983.0,1985.0,F,6-9,240.0,"June 12, 1960",Detroit Mercy,kopicjo01,1982.0,2.0,56.0
Joe McNamee,,1951.0,1952.0,F-C,6-6,210.0,"September 24, 1926",San Francisco,mcnamjo01,,,
Joe Meriweather,Unknown,1976.0,1985.0,C-F,6-10,215.0,"October 26, 1953",Southern Illinois,meriwjo01,1975.0,1.0,11.0
Joe Mullaney,,1950.0,1950.0,G,6-0,165.0,"November 17, 1924",Holy Cross,mullajo01,,,
Joe Pace,Unknown,1977.0,1978.0,C,6-10,220.0,"December 18, 1953",Coppin State University,pacejo01,1975.0,2.0,76.0
Joe Reaves,Unknown,1974.0,1974.0,F,6-5,210.0,"May 27, 1950",Bethel College,reavejo01,1973.0,2.0,42.0
Joe Roberts,Unknown,1961.0,1968.0,F,6-6,214.0,"May 18, 1936",Ohio State,roberjo01,1960.0,1.0,21.0
Joe Ruklick,Unknown,1960.0,1962.0,F-C,6-9,220.0,"August 3, 1938",Northwestern,ruklijo01,1959.0,1.0,11.0
Joe Smith,Unknown,1996.0,2011.0,F,6-10,225.0,"July 26, 1975",Maryland,smithjo02,1995.0,1.0,1.0
Joe Smyth,,1954.0,1954.0,F,6-3,215.0,"May 22, 1929",Niagara University,smythjo01,,,
Joe Stephens,,1997.0,2000.0,F,6-7,210.0,"January 28, 1973","Colorado, Little Rock",stephjo01,,,
Joe Strawder,Unknown,1966.0,1968.0,C,6-10,235.0,"September 21, 1940",Bradley,strawjo01,1964.0,2.0,36.0
Joe Thomas,Unknown,1971.0,1971.0,F,6-6,205.0,"March 9, 1948",Marquette,thomajo01,1970.0,2.0,95.0
Joe Wieskamp,Unknown,2022.0,2023.0,G,6-6,212.0,"August 23, 1999",Iowa,wieskjo01,2021.0,2.0,41.0
Joe Wolf,Unknown,1988.0,1999.0,F-C,6-11,230.0,"December 17, 1964",UNC,wolfjo01,1987.0,1.0,13.0
Joe Young,Unknown,2016.0,2018.0,G,6-2,180.0,"June 27, 1992","Houston, Oregon",youngjo01,2015.0,2.0,43.0
Joel Anthony,,2008.0,2017.0,C,6-9,245.0,"August 9, 1982",UNLV,anthojo01,,,
Joel Ayayi,,2022.0,2022.0,G,6-5,180.0,"March 5, 2000",Gonzaga,ayayijo01,,,
Joel Bolomboy,Unknown,2017.0,2018.0,F,6-9,235.0,"January 28, 1994",Weber State,bolomjo01,2016.0,2.0,52.0
Joel Embiid,Philadelphia 76ers,2017.0,2025.0,C,7-0,280.0,"March 16, 1994",Kansas,embiijo01,2014.0,1.0,3.0
Joel Freeland,Unknown,2013.0,2015.0,F-C,6-10,250.0,"February 7, 1987",,freeljo01,2006.0,1.0,30.0
Joel Kramer,Unknown,1979.0,1983.0,F-C,6-7,203.0,"November 30, 1955",San Diego State,kramejo01,1978.0,2.0,63.0
Joel Przybilla,Unknown,2001.0,2013.0,C,7-1,255.0,"October 10, 1979",Minnesota,przybjo01,2000.0,1.0,9.0
Joey Dorsey,Unknown,2009.0,2015.0,F,6-8,268.0,"December 16, 1983",Memphis,dorsejo01,2008.0,2.0,33.0
Joey Graham,Unknown,2006.0,2011.0,F,6-7,225.0,"June 11, 1982","Central Florida, Oklahoma State",grahajo01,2005.0,1.0,16.0
Joffrey Lauvergne,Unknown,2015.0,2018.0,C-F,6-11,220.0,"September 30, 1991",,lauvejo01,2013.0,2.0,55.0
Johan Petro,Unknown,2006.0,2013.0,C,7-0,247.0,"January 27, 1986",,petrojo01,2005.0,1.0,25.0
John Abramovic,,1947.0,1948.0,F,6-3,195.0,"February 9, 1919",Salem University,abramjo01,,,
John Amaechi,,1996.0,2003.0,C-F,6-10,270.0,"November 26, 1970","Vanderbilt, Penn State",amaecjo01,,,
John Arthurs,Unknown,1970.0,1970.0,G,6-4,185.0,"August 15, 1947",Tulane,arthujo01,1969.0,2.0,73.0
John Bagley,Unknown,1983.0,1994.0,G,6-0,185.0,"April 23, 1960",Boston College,baglejo01,1982.0,1.0,12.0
John Barber,Unknown,1957.0,1957.0,F,6-6,210.0,"June 27, 1927","California State University, Los Angeles",barbejo01,1956.0,2.0,51.0
John Barnhill,Unknown,1963.0,1972.0,G,6-1,180.0,"March 20, 1938",Tennessee State,barnhjo01,1959.0,2.0,79.0
John Barr,,1947.0,1947.0,F,6-3,205.0,"August 18, 1918",Penn State,barrjo01,,,
John Battle,Unknown,1986.0,1995.0,G,6-2,175.0,"November 9, 1962",Rutgers University,battljo01,1985.0,2.0,84.0
John Beasley,Unknown,1968.0,1974.0,F-C,6-9,225.0,"February 5, 1944",Texas A&M,beasljo01,1966.0,2.0,45.0
John Block,Unknown,1967.0,1976.0,F-C,6-9,207.0,"April 16, 1944",USC,blockjo01,1966.0,1.0,27.0
John Brisker,,1970.0,1975.0,F-G,6-5,210.0,"June 15, 1947",Toledo,briskjo01,,,
John Brown,Unknown,1974.0,1980.0,F,6-7,220.0,"December 14, 1951",Missouri,brownjo01,1973.0,1.0,10.0
John Butler,,2023.0,2023.0,C,7-0,175.0,"December 4, 2002",Florida State,butlejo01,,,
John Celestand,Unknown,2000.0,2000.0,G,6-4,178.0,"March 6, 1977",Villanova,celesjo01,1999.0,1.0,30.0
John Chaney,,1950.0,1950.0,F-C,6-3,185.0,"February 29, 1920",LSU,chanejo01,,,
John Clawson,,1969.0,1969.0,F,6-4,200.0,"May 15, 1944",Michigan,clawsjo01,,,
John Coker,,1996.0,2001.0,C,7-0,253.0,"October 28, 1971",Boise State,cokerjo01,,,
John Collins,Utah Jazz,2018.0,2025.0,F,6-9,235.0,"September 23, 1997",Wake Forest,collijo01,1972.0,2.0,131.0
John Comeaux,Unknown,1968.0,1968.0,F,6-5,193.0,"September 15, 1943",Grambling State University,comeajo01,1966.0,2.0,68.0
John Coughran,Unknown,1980.0,1980.0,F,6-7,225.0,"September 12, 1951",California,coughjo01,1973.0,2.0,74.0
John Crotty,,1993.0,2003.0,G,6-1,185.0,"July 15, 1969",Virginia,crottjo01,,,
John Dickson,Unknown,1968.0,1968.0,C,6-10,240.0,"November 18, 1945",Arkansas State University,dicksjo01,1967.0,1.0,22.0
