"full_name","From","To","Pos","Ht","Wt","Birth Date","Colleges","player_id"
"Cam Thomas",2022,2026,"G","6-3",210,"October 13 2001","LSU","thomaca02"
"Amen Thompson",2024,2026,"G-F","6-7",200,"January 30 2003","","thompam01"
"Ausar Thompson",2024,2026,"G","6-7",205,"January 30 2003","","thompau01"
"Ethan Thompson",2026,2026,"G","6-4",195,"May 4 1999","Oregon State","thompet01"
"Klay Thompson",2012,2026,"G-F","6-5",220,"February 8 1990","Washington State","thompkl01"
"Tristan Thompson",2012,2025,"F-C","6-9",254,"March 13 1991","Texas","thomptr01"
"JT Thor",2022,2025,"F","6-9",203,"August 26 2002","Auburn","thorjt01"
"Matisse Thybulle",2020,2026,"G","6-5",202,"March 4 1997","Washington","thybuma01"
"Xavier Tillman Sr.",2021,2026,"F","6-8",245,"January 12 1999","Michigan State","tillmxa01"
"Drew Timme",2025,2026,"F","6-9",235,"September 9 2000","Gonzaga","timmedr01"
"Nae'Qwan Tomlin",2025,2026,"F","6-8",210,"December 10 2000","Monroe Community College Chipola College Kansas State Memphis","tomlina01"
"John Tonje",2026,2026,"G","6-4",218,"April 23 2001","Colorado State Missouri Wisconsin","tonjejo01"
"Nikola Topi\u0107",2026,2026,"G","6-6",200,"August 10 2005","","topicni01"
"Jacob Toppin",2024,2026,"F","6-9",200,"May 8 2000","Rhode Island Kentucky","toppija01"
"Obi Toppin",2021,2026,"F","6-9",220,"March 4 1998","Dayton","toppiob01"
"Karl-Anthony Towns",2016,2026,"C-F","7-0",248,"November 15 1995","Kentucky","townska01"
"Armel Traor\u00e9",2025,2025,"F","6-9",246,"January 23 2003","","armeltr01"
"Nolan Traor\u00e9",2026,2026,"G","6-3",185,"May 28 2006","","traorno01"
"Luke Travers",2025,2026,"G","6-6",207,"September 3 2001","","travelu01"
"Gary Trent Jr.",2019,2026,"G","6-5",204,"January 18 1999","Duke","trentga02"
"Oscar Tshiebwe",2024,2026,"F","6-8",255,"November 27 1999","West Virginia Kentucky","tshieos01"
"P.J. Tucker",2007,2025,"F","6-5",245,"May 5 1985","Texas","tuckepj01"
"Myles Turner",2016,2026,"C-F","6-11",250,"March 24 1996","Texas","turnemy01"
"Hunter Tyson",2024,2026,"F","6-8",215,"June 13 2000","Clemson","tysonhu01"
"Jaylon Tyson",2025,2026,"G","6-6",215,"December 2 2002","Texas Texas Tech California","tysonja01"
"Stanley Umude",2023,2026,"G","6-6",210,"April 12 1999","South Dakota Arkansas","umudest01"
"Jonas Valan\u010di\u016bnas",2013,2026,"C","6-11",265,"May 6 1992","","valanjo01"
"Fred VanVleet",2017,2025,"G","6-0",197,"February 25 1994","Wichita State","vanvlfr01"
"Jarred Vanderbilt",2019,2026,"F","6-8",214,"April 3 1999","Kentucky","vandeja01"
"Devin Vassell",2021,2026,"G-F","6-5",200,"August 23 2000","Florida State","vassede01"
"Gabe Vincent",2020,2026,"G","6-2",200,"June 14 1996","UC Santa Barbara","vincega01"
"Nikola Vu\u010devi\u0107",2012,2026,"C","6-9",260,"October 24 1990","USC","vucevni01"
"Tristan Vukcevic",2024,2026,"F-C","7-0",220,"March 11 2003","","vukcetr01"
"Dean Wade",2020,2026,"F","6-9",228,"November 20 1996","Kansas State","wadede01"
"Franz Wagner",2022,2026,"G-F","6-10",220,"August 27 2001","Michigan","wagnefr01"
"Moritz Wagner",2019,2026,"F-C","6-11",245,"April 26 1997","Michigan","wagnemo01"
"Jabari Walker",2023,2026,"F-C","6-7",237,"July 30 2002","Colorado","walkeja01"
"Jarace Walker",2024,2026,"F","6-7",235,"September 4 2003","Houston","walkeja02"
"Lonnie Walker IV",2019,2025,"G","6-4",204,"December 14 1998","Miami (FL)","walkelo01"
"Cason Wallace",2024,2026,"G","6-3",195,"November 7 2003","Kentucky","wallaca01"
"Keaton Wallace",2025,2026,"G","6-3",185,"February 26 1999","Texas-San Antonio","wallake01"
"Jordan Walsh",2024,2026,"G-F","6-6",205,"March 3 2004","Arkansas","walshjo01"
"Ja'Kobe Walter",2025,2026,"G","6-4",180,"September 4 2004","Baylor","walteja01"
"Kel'el Ware",2025,2026,"C","7-0",230,"April 20 2004","Oregon Indiana","wareke01"
"P.J. Washington",2020,2026,"F","6-7",230,"August 23 1998","Kentucky","washipj01"
"TyTy Washington Jr.",2023,2026,"G","6-3",195,"November 15 2001","Kentucky","washity02"
"Lindy Waters III",2022,2026,"G","6-5",210,"July 28 1997","Oklahoma State","waterli01"
"Trendon Watford",2022,2026,"F","6-8",237,"November 9 2000","LSU","watfotr01"
"Jamir Watkins",2026,2026,"F-G","6-6",210,"July 6 2001","VCU Florida State","watkija01"
"Anton Watson",2025,2025,"F","6-8",225,"October 6 2000","Gonzaga","watsoan02"
"Peyton Watson",2023,2026,"G-F","6-8",200,"September 11 2002","UCLA","watsope01"
"Jaylen Wells",2025,2026,"F","6-7",206,"August 26 2003","Sonoma State University Washington State","wellsja01"
"Victor Wembanyama",2024,2026,"C-F","7-4",235,"January 4 2004","","wembavi01"
"Blake Wesley",2023,2026,"G","6-4",190,"March 16 2003","Notre Dame","weslebl01"
"Russell Westbrook",2009,2026,"G","6-4",200,"November 12 1988","UCLA","westbru01"
"Phillip Wheeler",2025,2025,"F","6-8",185,"April 23 2002","","wheelph02"
"Coby White",2020,2026,"G","6-4",195,"February 16 2000","UNC","whiteco01"
"Derrick White",2018,2026,"G","6-4",190,"July 2 1994","Colorado-Colorado Springs Colorado","whitede01"
"Dariq Whitehead",2024,2026,"F","6-6",220,"August 1 2004","Duke","whiteda01"
"Cam Whitmore",2024,2026,"F","6-6",230,"July 8 2004","Villanova","whitmca01"
"Aaron Wiggins",2022,2026,"G","6-5",190,"January 2 1999","Maryland","wiggiaa01"
"Andrew Wiggins",2015,2026,"F-G","6-6",197,"February 23 1995","Kansas","wiggian01"
"Alondes Williams",2023,2026,"G","6-4",210,"June 19 1999","Triton College Oklahoma Wake Forest","willial06"
"Amari Williams",2026,2026,"F","6-11",250,"January 28 2002","Drexel Kentucky","william01"
"Brandon Williams",2022,2026,"G","6-1",190,"November 22 1999","Arizona","willibr03"
"Cody Williams",2025,2026,"G-F","6-8",190,"November 20 2004","Colorado","willico04"
"Grant Williams",2020,2026,"F","6-7",236,"November 30 1998","Tennessee","willigr01"
"Jalen Williams",2023,2026,"G","6-5",211,"April 14 2001","Santa Clara","willija06"
"Jaylin Williams",2023,2026,"F","6-9",240,"June 29 2002","Arkansas","willija07"
"Kenrich Williams",2019,2026,"G-F","6-7",210,"December 2 1994","TCU","willike04"
"Mark Williams",2023,2026,"C","7-1",240,"December 16 2001","Duke","willima07"
"Nate Williams",2023,2026,"G","6-5",205,"February 12 1999","Buffalo","willije02"
"Patrick Williams",2021,2026,"F","6-6",215,"Augusthorjt01.t 26 2001","Florida State","willipa01"
"Robert Williams",2019,2026,"C-F","6-9",249,"October 17 1997","Texas A&M","williro04"
"Vince Williams Jr.",2023,2026,"F","6-4",205,"August 30 2000","VCU","willivi01"
"Ziaire Williams",2022,2026,"F","6-9",185,"September 12 2001","Stanford","willizi02"
"Lucas Williamson",2026,2026,"G","6-4",205,"January 28 1999","Loyola Chicago","willilu01"
"Zion Williamson",2020,2026,"F-C","6-6",284,"July 6 2000","Duke","willizi01"
"Jalen Wilson",2024,2026,"F","6-6",220,"November 4 2000","Kansas","wilsoja03"
"James Wiseman",2021,2026,"C","6-11",240,"March 31 2001","Memphis","wisemja01"
"Danny Wolf",2026,2026,"F-C","6-11",250,"May 5 2004","Yale Michigan","wolfda01"
"Isaiah Wong",2024,2025,"G","6-3",185,"January 28 2001","Miami (FL)","wongis01"
"Delon Wright",2016,2025,"G","6-4",185,"April 26 1992","Utah","wrighde01"
"Guerschon Yabusele",2018,2026,"F-C","6-7",265,"December 17 1995","","yabusgu01"
"Jahmir Young",2025,2026,"G","6-0",185,"October 7 2000","UNC Charlotte Maryland","youngja05"
"Trae Young",2019,2026,"G","6-2",164,"September 19 1998","Oklahoma","youngtr01"
"Chris Youngblood",2026,2026,"G","6-4",221,"February 9 2002","Kennesaw State University South Florida Alabama","youngch01"
"Omer Yurtseven",2022,2026,"C","6-11",275,"June 19 1998","NC State Georgetown","yurtsom01"
"Rocco Zikarsky",2026,2026,"C","7-3",227,"July 11 2006","","zikarro01"
"Ivica Zubac",2017,2026,"C","7-0",240,"March 18 1997","","zubaciv01"
